License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code
612467,ACTIVE,47,03/03/2020,02/28/2027,IL FORNAIO (AMERICA) LLC,"327 LORTON AVE,BURLINGAME, CA  94010-4116Census Tract:  6055.01",IL FORNAIO,4103
613890,ACTIVE,47,05/26/2020,04/30/2027,"NFS UNLIMITED, LLC","60 BAY VIEW PL,BURLINGAME, CA  94010-1907Census Tract:  6054.00",KINCAID'S,4103
614136,ACTIVE,47,02/25/2020,03/31/2027,BENNY'S KITCHEN LLC,"235 BROADWAY,MILLBRAE, CA  94030-2507Census Tract:  6044.00",NYONYA HOUSE,4108
614818,ACTIVE,47,05/12/2020,04/30/2027,BROADWAY GRILL LLC,"1400 BROADWAY,BURLINGAME, CA  94010Census Tract:  6051.00",BROADWAY GRILL,4103
615443,ACTIVE,41,12/10/2020,11/30/2026,MR. TERIYAKI 14,"851 BURLWAY RD, STE 900,BURLINGAME, CA  94010-1722Census Tract:  6051.00",MR. TERIYAKI,4103
617280,ACTIVE,41,10/05/2020,09/30/2026,NOODLES AND THINGS (MILLBRAE) LLC,"447 BROADWAY,MILLBRAE, CA  94030-1905Census Tract:  6039.00",NOODLES & THINGS,4108
618513,ACTIVE,41,08/10/2020,08/31/2027,"LYONS, KAREN FINNEY","1431 BROADWAY,BURLINGAME, CA  94010-3427Census Tract:  6051.00",BONNE SANTE BROADWAY,4103
619662,ACTIVE,41,11/09/2020,10/31/2026,FUUMI KITCHEN LLC,"1190 BROADWAY,BURLINGAME, CA  94010-3422Census Tract:  6051.00",FUUMI,4103
619832,ACTIVE,47,01/22/2021,12/31/2026,226 KITCHEN INC,"226 LORTON AVE,BURLINGAME, CA  94010-4204Census Tract:  6055.02",226 KITCHEN,4103
622834,ACTIVE,47,03/17/2021,02/28/2027,KAIZEN AND PROSPER LLC,"333 CALIFORNIA DR,BURLINGAME, CA  94010Census Tract:  6055.01",,4103
623369,ACTIVE,41,03/10/2021,02/28/2027,VIJAYA FOODS INC.,"321 PRIMROSE RD,BURLINGAME, CA  94010-4404Census Tract:  6055.01",MASALA DESI CAFE,4103
623972,ACTIVE,41,07/07/2021,06/30/2027,ARVEE BROS INC,"1375 EL CAMINO REAL,MILLBRAE, CA  94030-1410Census Tract:  6039.00","MILLWOOD,THE",4108
629452,ACTIVE,47,10/20/2021,09/30/2027,BENIHANA INTERNATIONAL INC,"1494 BAYSHORE HWY,BURLINGAME, CA  94010Census Tract:  6051.00",BENIHANA OF TOKYO,4103
630018,ACTIVE,70,12/02/2021,11/30/2026,VISTA INVESTMENTS MGMT CO,"1640 OLD BAYSHORE HIGHWAY,BURLINGAME, CA  94010-1504Census Tract:  6051.00",VAGABOND INN,4103
630177,ACTIVE,41,12/24/2021,11/30/2026,AJISHO USA LLC,"1204 BROADWAY,BURLINGAME, CA  94010-3424Census Tract:  6051.00",CURRY HYUGA,4103
633147,ACTIVE,66,04/01/2022,03/31/2027,DHC SFO CORPORATION,"1 OLD BAYSHORE HWY,MILLBRAE, CA  94030-3120Census Tract:  6044.00",WESTIN SAN FRANCISCO AIRPORT THE,4108
633147,ACTIVE,58,04/01/2022,03/31/2027,DHC SFO CORPORATION,"1 OLD BAYSHORE HWY,MILLBRAE, CA  94030-3120Census Tract:  6044.00",WESTIN SAN FRANCISCO AIRPORT THE,4108
633147,ACTIVE,68,04/01/2022,03/31/2027,DHC SFO CORPORATION,"1 OLD BAYSHORE HWY,MILLBRAE, CA  94030-3120Census Tract:  6044.00",WESTIN SAN FRANCISCO AIRPORT THE,4108
633147,ACTIVE,47,04/01/2022,03/31/2027,DHC SFO CORPORATION,"1 OLD BAYSHORE HWY,MILLBRAE, CA  94030-3120Census Tract:  6044.00",WESTIN SAN FRANCISCO AIRPORT THE,4108
633153,ACTIVE,47,02/28/2022,01/31/2027,A M FERRARI CORPORATION,"1448 BURLINGAME AVE,BURLINGAME, CA  94010Census Tract:  6055.01",STELLA ALPINA OSTENA,4103
633169,ACTIVE,47,04/04/2022,03/31/2027,DHC SFO CORPORATION,"401 E MILLBRAE AVE,MILLBRAE, CA  94030-3111Census Tract:  6039.00",ALOFT SAN FRANCISCO AIRPORT,4108
633169,ACTIVE,58,04/04/2022,03/31/2027,DHC SFO CORPORATION,"401 E MILLBRAE AVE,MILLBRAE, CA  94030-3111Census Tract:  6039.00",ALOFT SAN FRANCISCO AIRPORT,4108
633665,ACTIVE,41,02/02/2022,01/31/2027,"NOODLEOSOPHY, LLC","102 S EL CAMINO REAL,MILLBRAE, CA  94030-3121Census Tract:  6044.00",SOCIAL EATERY,4108
634272,ACTIVE,41,02/02/2022,01/31/2027,JOY-JK CORPORATION,"420 BROADWAY,MILLBRAE, CA  94030-1906Census Tract:  6039.00",HANSANG,4108
